judul,harga,lokasi,kamar_tidur,kamar_mandi,luas_tanah,luas_bangunan,jumlah_garasi,daya_watt,jumlah_lantai,sertifikat_Hak_Pakai,sertifikat_Lainnya,sertifikat_PPJB,sertifikat_SHM,kota_Batu,kota_Gresik,kota_Jember,kota_Kediri,kota_Lumajang,kota_Madiun,kota_Malang,kota_Mojokerto,kota_Nganjuk,kota_Pamekasan,kota_Pasuruan,kota_Probolinggo,kota_Sidoarjo,kota_Situbondo,kota_Surabaya,kota_Trenggalek,kota_Tuban,kota_Tulungagung,kota_original,sertifikat_rumah_original
Rumah Kost Eksklusif 18 kamar area jl candi mendut Soekarno hatta,3600000000,"Soekarno Hatta, Malang",18,19,105,314,1,1300,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Jual Di Bawah Harga Pasar Vila Full Furnished jl Abdul Gani Batu,2500000000,"Batu, Malang",8,8,344,230,1,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Rumah Murah Di Gunung Anyar Shm Semifurnish 600juta Nego Tipis,600000000,"Gununganyar, Surabaya",3,1,72,60,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Jual Rumah Wisata Bukit Mas 2. Cluster Louvre. Surabaya. Istimewa. Shm.,3500000000,"Wisata Bukit Mas, Surabaya",4,3,160,220,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Cocok Untuk Usaha Daerah Tambak Sari Surabaya,7250000000,"Tambaksari, Surabaya",12,8,325,650,2,12700,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Murah! Rumah Harga Tanah !! Di Jalan Kepulauan Malang,2300000000,"Klojen, Malang",3,1,225,113,1,1300,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,HGB
Rumah Northwest Lake Park Central Hill Citraland Surabaya Barat,1150000000,"Citraland, Surabaya",3,3,90,85,1,3500,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,PPJB
Dijual Rumah Mewah Lokasi Woodland Citraland Surabaya Timur,5700000000,"Citraland, Surabaya",4,4,210,360,1,7700,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Rungkut Asri Surabaya dekat Pasar Rungkut,1890000000,"Rungkut, Surabaya",4,4,200,200,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Termurah Rumah Siap Huni Di Rungkut Asri Dekat Pasar Sopoyono,1800000000,"Rungkut, Surabaya",3,3,200,200,1,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Puri Surya Jaya Taman Pasadena Gedangan Sidoarjo,2800000000,"Gedangan, Sidoarjo",3,2,288,140,1,3300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
"Rumah Mewah Manyar Indah 2 Lantai, SHM & Nego",4099999999,"Manyar, Surabaya",4,3,157,215,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Kos Eksclusif Di Joyoagung, Lokasi Ramai Mahasiswa!",1100000000,"Merjosari, Malang",10,10,75,133,1,1300,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
RUMAH MEWAH PREMIUM TROPICAL MODERN DI KLOJEN MALANG,20000000000,"Klojen, Malang",6,5,1108,650,3,7700,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Rumah Northwest Lake Lebar 6 Selatan 3 Kamar Tidur Murah,1150000000,"Citraland, Surabaya",3,2,90,80,1,3300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
"Rumah Modern Compact Griya Asri, Pakuwon City 1 Lantai Furnished",1600000000,"Pakuwon City, Surabaya",1,1,78,60,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Lokasi Strategis Jl. Bromo Surabaya,12500000000,"Surabaya Kota, Surabaya",5,3,607,632,5,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
